"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,2,0.0078125,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"2",124,64,0.03125,1,1,1,1,1,1
"3",451,256,0.0078125,1,1,1,1,1,1
"4",689,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"5",320,256,0.0078125,1,1,1,1,1,1
"6",420,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"7",987,256,0.0078125,1,1,1,1,1,1
"8",150,256,0.0078125,1,1,1,1,1,1
"9",489,256,0.00390625,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"10",143,256,0.0078125,1,1,1,1,1,1
"11",323,32,0.03125,0.985915492957746,0.888888888888889,1,0.935296499216269,0.941176470588235,0.944444444444444
"12",550,256,0.0078125,1,1,1,1,1,1
"13",740,128,0.015625,1,1,1,1,1,1
"14",430,256,0.0078125,1,1,1,1,1,1
"15",303,256,0.0078125,1,1,1,1,1,1
"16",264,2,0.0078125,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"17",456,256,0.0078125,1,1,1,1,1,1
"18",970,256,0.0078125,1,1,1,1,1,1
"19",950,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"20",880,256,0.0078125,1,1,1,1,1,1
