"","Seed","Cost","Gamma","Acc","Sen","Spe","MCC","F1","AUC"
"1",131,256,0.0078125,1,1,1,1,1,1
"2",124,256,0.0078125,1,1,1,1,1,1
"3",451,128,0.0078125,1,1,1,1,1,1
"4",689,256,0.0078125,1,1,1,1,1,1
"5",320,256,0.0078125,1,1,1,1,1,1
"6",420,256,0.03125,1,1,1,1,1,1
"7",987,256,0.0078125,1,1,1,1,1,1
"8",150,256,0.0078125,1,1,1,1,1,1
"9",489,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"10",143,256,0.0078125,1,1,1,1,1,1
"11",323,4,0.00390625,0.971830985915493,0.888888888888889,0.983870967741935,0.872759856630824,0.888888888888889,0.936379928315412
"12",550,256,0.00390625,1,1,1,1,1,1
"13",740,128,0.0078125,1,1,1,1,1,1
"14",430,256,0.0078125,1,1,1,1,1,1
"15",303,128,0.0078125,1,1,1,1,1,1
"16",264,2,0.00390625,0.929577464788732,0.555555555555556,0.983870967741935,0.645233774992553,0.666666666666667,0.769713261648746
"17",456,256,0.015625,1,1,1,1,1,1
"18",970,256,0.0078125,1,1,1,1,1,1
"19",950,256,0.0078125,1,1,1,1,1,1
"20",880,256,0.0078125,1,1,1,1,1,1
